id,perturbation,sources,phenotype,expected_exists,predicted_exists,agreement,weight,score,found_phenotypes,Model
11,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'NFAT': 0, 'RORGT': 0, 'TBET': 1, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 0, 'BCL6': 0, 'CD28': 0, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNG_2': 0, 'IL12R': 1, 'IL12RB2': 1, 'IL12_e': 1, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL27R': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL7_e': 0, 'JAK1': 0, 'NFAT': 0, 'RORGT': 0, 'RUNX3': 0, 'SMAD2': 0, 'STAT1': 0, 'STAT1_2': 0, 'STAT4': 1, 'STAT6': 0, 'TBET': 1, 'TBET_2': 0, 'TCR': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
12,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 1, 'IL17': 0, 'IL4': 0, 'RORGT': 0, 'TBET': 1, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'BCL6': 0, 'DLL1': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNA_e': 0, 'IFNG': 1, 'IFNGR': 1, 'IFNG_e': 1, 'IL12R': 1, 'IL12RB2': 1, 'IL12_e': 1, 'IL17': 0, 'IL18R': 1, 'IL18_e': 0, 'IL1_e': 0, 'IL21R': 0, 'IL21_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL6R': 0, 'IL6_e': 0, 'IL7_e': 0, 'NFKB': 1, 'RORGT': 0, 'SMAD2': 0, 'STAT1': 1, 'STAT1_2': 1, 'STAT3': 0, 'STAT4': 1, 'STAT6': 0, 'TBET': 1, 'TBET_2': 1, 'TGFB': 0, 'TGFBR': 0}]",N10
13,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'NFAT': 1, 'RORGT': 0, 'TBET': 1, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD28': 1, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNG_2': 0, 'IL12R': 1, 'IL12RB2': 1, 'IL12_e': 1, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL27R': 0, 'IL27_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL7_e': 0, 'IL9': 1, 'JAK1': 0, 'NFAT': 1, 'RORGT': 0, 'RUNX3': 0, 'SMAD2': 0, 'SOCS1': 0, 'STAT1': 0, 'STAT1_2': 0, 'STAT4': 1, 'STAT5': 1, 'STAT6': 0, 'TBET': 1, 'TBET_2': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
14,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'NFAT': 0, 'RORGT': 0, 'TBET': 0, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 0, 'BCL6': 0, 'CD28': 0, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29R': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4': 0, 'IL7_e': 0, 'JAK1': 0, 'NFAT': 0, 'PU1': 0, 'RORGT': 0, 'RUNX3': 0, 'SMAD3': 0, 'SOCS1': 0, 'STAT1_2': 0, 'STAT4': 0, 'STAT5': 1, 'TBET': 0, 'TBET_2': 0, 'TCR': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
15,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL17': 0, 'IL4': 1, 'RORGT': 0, 'TBET': 0, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD28': 1, 'CD8': 0, 'DLL1': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNG_2': 0, 'IL17': 0, 'IL18R': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL27R': 0, 'IL27_e': 0, 'IL29R': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4': 1, 'IL4R': 1, 'IL7_e': 0, 'IL9': 1, 'IRF1': 0, 'JAK1': 0, 'NFAT': 1, 'RORGT': 0, 'RUNX3': 0, 'SMAD3': 0, 'SOCS1': 0, 'STAT1': 0, 'STAT1_2': 0, 'STAT4': 0, 'STAT5': 1, 'STAT5_2': 1, 'STAT6': 1, 'TBET': 0, 'TBET_2': 0, 'TGFB': 0, 'TGFBR': 0}]",N10
16,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'NFAT': 1, 'RORGT': 0, 'TBET': 0, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD28': 1, 'CD8': 0, 'CMAF': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL21': 0, 'IL21R': 0, 'IL25_e': 0, 'IL27R': 1, 'IL27_e': 1, 'IL29R': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4': 0, 'IL6R': 0, 'IL6_e': 0, 'IL7_e': 0, 'IL9': 1, 'IRF1': 1, 'JAK1': 0, 'NFAT': 1, 'PU1': 0, 'RORGT': 0, 'RUNX3': 0, 'SMAD2': 0, 'SMAD3': 0, 'SOCS1': 0, 'STAT1': 1, 'STAT1_2': 0, 'STAT3': 0, 'STAT4': 0, 'STAT5': 1, 'TBET': 0, 'TBET_2': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
17,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 1, 'GATA3': 0, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'RORGT': 0, 'TBET': 0, 'TGFB': 1}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 1, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 1, 'GATA3': 0, 'IFNA_e': 0, 'IFNBR': 1, 'IFNB_e': 1, 'IFNG': 0, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL2': 1, 'IL21': 1, 'IL21R': 1, 'IL21_e': 1, 'IL25_e': 0, 'IL27R': 1, 'IL27_e': 1, 'IL29_e': 0, 'IL2R': 1, 'IL2RA': 1, 'IL2R_2': 1, 'IL2_e': 1, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL7_e': 0, 'NFAT': 1, 'RORGT': 0, 'RUNX3': 0, 'SMAD2': 1, 'STAT1': 1, 'STAT1_2': 1, 'STAT3': 1, 'STAT5': 1, 'STAT5_2': 1, 'STAT6': 0, 'TBET': 0, 'TBET_2': 0, 'TCR': 1, 'TGFB': 1, 'TGFBR': 1, 'TGFB_e': 1, 'proliferation': 0}]",N10
18,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'RORGT': 1, 'TBET': 0, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 0, 'CD28': 0, 'CD8': 0, 'DLL1': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNA_e': 0, 'IFNG': 0, 'IL10': 1, 'IL10R': 1, 'IL10_e': 1, 'IL12R': 0, 'IL12RB2': 0, 'IL15R': 1, 'IL15_e': 1, 'IL17': 0, 'IL18R': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23R': 1, 'IL25_e': 0, 'IL27R': 1, 'IL27_e': 1, 'IL29_e': 0, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 1, 'IL4RA_2': 1, 'IL4R_2': 1, 'IL4_e': 1, 'IL6': 1, 'IL6R': 1, 'IL6_e': 1, 'IL7_e': 0, 'IRF1': 1, 'JAK3': 1, 'NFAT': 0, 'RORGT': 1, 'RUNX3': 0, 'SMAD3': 0, 'STAT1': 1, 'STAT3': 1, 'STAT4': 0, 'STAT5': 1, 'STAT5_2': 1, 'STAT6': 1, 'TBET': 0, 'TBET_2': 0, 'TCR': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
19,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 0, 'IFNG': 0, 'IL17': 1, 'IL4': 0, 'RORGT': 1, 'TBET': 1, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD28': 1, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 0, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IL10': 1, 'IL10R': 1, 'IL10_e': 1, 'IL12R': 1, 'IL12RB2': 1, 'IL12_e': 1, 'IL17': 1, 'IL18_e': 0, 'IL1_e': 0, 'IL23R': 1, 'IL25_e': 0, 'IL27R': 1, 'IL27_e': 1, 'IL29_e': 0, 'IL2R': 0, 'IL2R_2': 0, 'IL2_e': 0, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL6': 1, 'IL6R': 1, 'IL6_e': 1, 'IL7_e': 0, 'IL9': 1, 'JAK1': 0, 'JAK3': 1, 'NFAT': 1, 'NFKB': 1, 'RORGT': 1, 'RUNX3': 0, 'SMAD2': 0, 'STAT1_2': 0, 'STAT3': 1, 'STAT4': 1, 'STAT5_2': 0, 'STAT6': 0, 'TBET': 1, 'TBET_2': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
20,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 0, 'GATA3': 1, 'IFNG': 0, 'IL17': 0, 'RORGT': 1, 'TBET': 0, 'TGFB': 0}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD28': 1, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 0, 'GATA3': 1, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IL10': 1, 'IL10R': 1, 'IL10_e': 1, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL23R': 1, 'IL25_e': 0, 'IL27R': 1, 'IL27_e': 1, 'IL29R': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL4R': 1, 'IL4_e': 1, 'IL6': 1, 'IL6R': 1, 'IL6_e': 1, 'IL7_e': 0, 'IL9': 1, 'JAK1': 0, 'JAK3': 1, 'NFAT': 1, 'RORGT': 1, 'RUNX3': 0, 'SMAD3': 0, 'SOCS1': 0, 'STAT1_2': 0, 'STAT3': 1, 'STAT4': 0, 'STAT5': 1, 'STAT5_2': 1, 'STAT6': 1, 'TBET': 0, 'TBET_2': 0, 'TGFB': 0, 'TGFBR': 0, 'proliferation': 0}]",N10
21,{},"{'DLL1': 0, 'IFNA_e': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36_e': 0, 'IL7_e': 0}","{'FOXP3': 1, 'GATA3': 0, 'IFNG': 0, 'IL17': 0, 'IL4': 0, 'RORGT': 0, 'TBET': 1, 'TGFB': 1}",True,True,1.0,1.0,1.0,"[{'APC': 1, 'BCL6': 0, 'CD8': 0, 'DLL1': 0, 'EOMES': 0, 'FOXP3': 1, 'GATA3': 0, 'IFNAR': 0, 'IFNA_e': 0, 'IFNBR': 0, 'IFNB_e': 0, 'IFNG': 0, 'IFNGR': 0, 'IFNGR_2': 0, 'IFNG_2': 0, 'IL12R': 1, 'IL12RB2': 1, 'IL12_e': 1, 'IL17': 0, 'IL18_e': 0, 'IL1_e': 0, 'IL25_e': 0, 'IL29_e': 0, 'IL33_e': 0, 'IL36R': 0, 'IL36_e': 0, 'IL4': 0, 'IL4R': 0, 'IL4R_2': 0, 'IL4_e': 0, 'IL7_e': 0, 'IL9': 1, 'JAK1': 0, 'NFAT': 1, 'RORGT': 0, 'RUNX3': 0, 'SMAD2': 1, 'SMAD3': 1, 'SOCS1': 0, 'STAT1_2': 0, 'STAT4': 1, 'STAT5': 1, 'STAT6': 0, 'TBET': 1, 'TBET_2': 0, 'TCR': 1, 'TGFB': 1, 'TGFBR': 1, 'TGFB_e': 1, 'proliferation': 0}]",N10
